,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,4108316,6755064,"[16310379, 14419197, 17399735]",4108315,"[4108322, 4108336, 4108329]"
1,14767224,12960217,"[11466247, 13775274, 19552695, 14419197, 13775274, 13775274, 14419197, 13331383, 13775274, 14419197]",14419243,"[14767223, 14767231, 14767237, 14767243, 15388767, 17616231, 15589837, 15589833, 15589838, 15589839]"
2,14767255,15505125,"[11466247, 14767260, 14767266, 14767278, 14767284, 4108350, 14419191, 14767303, 14400614, 13331383, 19552695, 16791081, 13775274, 14419197]",14400608,"[14767254, 14767263, 14767269, 14767281, 14767287, 14767300, 14767293, 14767306, 14400617, 14400623, 14400635, 19579006, 17616234, 19579065]"
3,17616280,12960217,"[11466247, 14419208, 14419197, 14419191, 12147878, 19552695, 13331383]",14419176,"[14419217, 14419211, 14419200, 14419194, 14419188, 14419182, 25407988]"
