,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,746462,5246918,"[20361774, 689215, 8614658, 5602717, 3074106]",746459,"[746511, 746377, 746473, 746483, 6329235]"
1,746605,5246918,"[20361774, 8614658, 689215, 746626, 9354613]",746602,"[62208826, 746620, 746573, 746630, 4576105]"
2,1179156,7576854,"[1113488, 5246918, 477729, 4305390]",1179153,"[1179139, 1179171, 1179163, 21270554]"
3,1180512,7576854,"[1180522, 1180538, 1113488, 5246918, 4305390]",1180509,"[1180526, 1180542, 1180502, 1180534, 1180518]"
4,2827233,6276557,"[2784471, 2827242, 2827249, 5246918]",2827239,"[2827232, 2827246, 2827253, 746459]"
5,2827275,6276557,"[471755, 2784471, 5246918]",2827281,"[2827288, 2827270, 2827295]"
6,2827334,7476448,"[3282869, 4305390, 5246918]",2827340,"[2827354, 2827347, 2827332]"
7,4575203,20361774,"[9354613, 4575226, 4305390, 5246918]",4575209,"[4575170, 4575230, 4575223, 4575216]"
8,5244983,6280989,"[5244992, 5244999, 5246918, 4598201]",5244989,"[5244996, 5245003, 5244982, 22019761]"
9,5245106,7476448,"[3074106, 4305390, 4305390, 4598201, 5246918]",5245113,"[5245164, 5245136, 5245154, 5245143, 5245012]"
10,5245183,7476448,"[5245192, 2827249, 5246918]",5245189,"[5245196, 5245204, 5245181]"
11,5245256,5602717,"[5245265, 5246918, 10794237]",5245262,"[5245269, 5245246, 10794240]"
12,5245324,7476448,"[9354613, 5245334, 5245341, 5246918, 4305390, 16004850]",5245330,"[4576074, 5245338, 5245345, 5245319, 21269536, 22020359]"
13,5245519,7576854,"[3074106, 5246918, 5343539]",5245525,"[5245533, 5245516, 5245540]"
14,5245724,7416462,"[5245733, 5245740, 5245756, 5246918, 4305390]",5245730,"[5245737, 5245744, 5245760, 5246283, 5245717]"
15,5245783,7476448,"[5246918, 4305390]",5245791,"[5245798, 5245779]"
16,5246463,7416462,"[5246473, 5246481, 5246918]",5246469,"[5246477, 5246485, 5246461]"
17,5246565,7416462,"[6274400, 13035761, 5246606, 5246918]",5246573,"[15256415, 5246588, 5246610, 5246561]"
18,5246741,5246918,"[5602717, 5246750, 5246766, 8614658]",5246740,"[5246747, 5246754, 5246770, 5246784]"
19,7419973,7476448,"[471755, 5246918, 5246918, 4305390]",7419972,"[7419979, 7476250, 5246648, 7476243]"
20,7420035,7476448,"[7420044, 8602741, 2784471, 1113488, 2827242, 2827249, 5246918, 4824878, 5246918]",7420034,"[7420048, 7420055, 2827198, 1180670, 7476344, 7476337, 7476330, 20885551, 21269670]"
21,7457114,6276557,"[2784471, 2827249, 5246918, 1113488]",7416502,"[2827198, 7476322, 7416510, 1180811]"
22,7476580,4372691,"[5246918, 4305390]",7476587,"[5246856, 5245767]"
23,12737188,7577188,"[5246918, 12737199, 12737205, 7416462]",12737163,"[5246501, 12737202, 12737208, 12737221]"
24,14171048,5246918,"[20361774, 8614658, 4824878, 4598201]",5246374,"[14171053, 14171041, 14171066, 14171060]"
25,15256463,6274400,"[15256465, 15256473, 5246918]",15256460,"[15256468, 15256476, 21269673]"
26,15581453,15521040,"[5246918, 4305390]",15581451,"[5246881, 5245858]"
27,15581857,15521040,"[5246918, 15521555, 16208588, 4305390]",15581855,"[5245284, 15581860, 4256317, 21243019]"
28,20885554,6276557,"[2784471, 5246918, 4824878]",7416483,"[2827262, 5246399, 20885553]"
29,21242213,7476448,"[17314049, 5246918, 4305390]",7428546,"[21242214, 5246894, 21242215]"
30,21269571,7576854,"[5246918, 3074106, 4305390, 17321835]",7441997,"[5245515, 6328969, 21269563, 21269580]"
31,21288508,16004850,"[4305390, 15521040, 5246918]",21288509,"[21288507, 15581867, 5245286]"
32,62206900,6274400,"[5246918, 20790496, 20790491, 20790486, 20790481, 20790476]",15256948,"[5244661, 62206905, 62206904, 62206903, 62206902, 62206901]"
33,62210420,5246918,"[8614658, 20361774]",5246377,"[14171040, 62208866]"
