,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
99,16407722,13524118,"[15710890, 12643185]",16407710,"[16407726, 16407737]"
100,16440093,15714654,"[15715246, 15752103, 12643185]",16440085,"[16440102, 16440095, 19244321]"
101,17237657,15870268,"[12643185, 15752103, 16005001, 16005006]",17237625,"[19244322, 16883128, 17237661, 17237662]"
102,17250372,16004501,"[16009017, 12643185]",17250366,"[17250378, 19885082]"
103,17894223,12643185,"[16211504, 16211509, 18751215]",10336471,"[17894224, 17894225, 17893417]"
104,17895077,12643185,"[16872655, 16211688, 16211693, 4791651]",10336388,"[19884876, 17895078, 17895079, 17893488]"
105,17895548,10089445,"[13881374, 13880322, 12643185]",10338988,"[14292106, 17893739, 10336347]"
106,17906816,15714654,"[16214795, 16214800, 12643185]",17906778,"[17906817, 17906819, 12641872]"
107,17907563,12763190,"[16885956, 10474991, 12643185, 16872877]",17907518,"[17907565, 17907570, 12641882, 19885030]"
108,17908498,12763190,"[12643185, 16215630, 16215635, 16215640]",17908474,"[12641859, 17908499, 17908501, 17908504]"
109,17910895,11833433,"[12643185, 16216593, 16216598, 16216608]",12642493,"[17910900, 17910896, 17910897, 17910903]"
110,17910967,11833433,"[12643185, 16216642, 16216647]",17910927,"[12642402, 17910969, 17910970]"
111,17916073,11833433,"[16219842, 16219847, 16219857, 12643185]",17916069,"[17916074, 17916079, 17916081, 17916080]"
112,17916109,11833433,"[12643185, 16219902]",17916107,"[19885055, 17916111]"
113,18412549,15101511,"[16425804, 16425809, 12643185]",18412546,"[18412551, 18412552, 18412550]"
114,18730810,12643185,"[4935723, 16533213, 16533219, 16533224, 8026224]",18730809,"[7369840, 18730811, 18730813, 18730814, 18730806]"
115,19244258,12643185,"[16713138, 16847054, 16794062, 14194234, 10220679, 16872164]",10336123,"[19244259, 16043698, 19585565, 19614727, 19884493, 19884495]"
116,19244282,12643185,"[13122674, 16713190, 16713195, 14144505, 4791651, 8096097, 12644114, 12705637]",10335881,"[13122664, 19244283, 19244284, 14144508, 14144456, 12644123, 12644117, 17439795]"
117,19244294,16235593,"[12643185, 16713210, 16713215, 16713220]",17967548,"[10336618, 19244295, 19244296, 19244297]"
118,19244359,12643185,"[13893969, 16872866, 16872871]",12641526,"[2091803, 19885027, 19885028]"
119,19244375,5459174,"[12643185, 16713264]",13562501,"[12641475, 19244378]"
120,19244446,4210173,"[12643185, 16713276]",5918102,"[12642371, 19244447]"
