,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,5486905,15759600,"[4386719, 8477127, 17569839, 17569844]",5486911,"[5486904, 16690479, 21722697, 21722701]"
1,5632149,15759600,"[4847405, 5632158, 5632165, 8477127]",5632155,"[5632148, 5632162, 5632169, 5632176]"
2,7277004,8477127,"[6954154, 7277013, 7277023]",7277010,"[7276999, 7277017, 7277027]"
3,7277066,8477127,"[6954154, 7277082, 7277089, 8096343, 12653397, 15994252]",7277079,"[7277043, 7277086, 7277093, 12653382, 12653400, 17194409]"
4,7896259,10000252,"[6949442, 7896268, 8477127]",7896265,"[7896258, 7896272, 7896279]"
5,7897273,6963420,"[14143799, 7897282, 7897288, 7897296, 8477127, 8454900]",7897263,"[7897279, 7897286, 7897292, 7897300, 13118764, 17293836]"
6,7954865,15290305,"[10227539, 10498094, 8477127]",7954864,"[7954879, 7954872, 13119530]"
7,8448161,13775274,"[8477127, 14938436, 16157033, 11059235, 14913093]",8448167,"[8448181, 8448174, 8448160, 12857146, 8465060]"
8,8455018,13671419,"[8455034, 8477127, 8096343, 16778979, 14913093]",8455024,"[8455038, 8455031, 13115875, 19554556, 8161932]"
9,8477124,8477127,"[8477134, 8477143, 11057449, 15994753, 12809923]",8477131,"[8477138, 8477147, 12702618, 17194720, 8477096]"
10,8834000,8840084,"[8834002, 8477127, 20025464, 20025469, 20025474, 20025479]",8833976,"[8834006, 8834013, 25199862, 25199863, 25199864, 25199865]"
11,8834067,8840084,"[8834076, 8477127]",8834066,"[8834080, 8834073]"
12,8834135,8840084,"[8834145, 8834151, 10397674, 20022020, 8477127]",8834089,"[8834149, 8834155, 8834142, 25193377, 13118122]"
13,9143140,6415260,"[9143142, 9143149, 9143156, 9143163, 8477127]",9143139,"[9143146, 9143153, 9143160, 9143167, 13119291]"
14,9552557,12023066,"[12944478, 9552581, 9552595, 4981665, 8477127, 12944478, 14826752, 2106008]",9552570,"[9552578, 9552585, 9552599, 9552592, 13119447, 13077058, 9552555, 12021926]"
15,10574091,15994252,"[10574094, 10574100, 8477127, 16849420]",10574110,"[10574097, 10574103, 13121823, 1754696]"
16,11989566,8235049,"[8477127, 12956961, 9938023]",11989571,"[11989589, 12956964, 11988183]"
17,12025448,13775274,"[5357465, 12025465, 12025473, 14913093, 8477127]",12025453,"[12025417, 12025468, 12025476, 12025461, 13120577]"
18,12652331,8477127,"[8095967, 12652339]",12652336,"[12652330, 12652342]"
