,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,132730,131382,"[2743423, 132732, 132748, 7606082]",132728,"[132760, 132736, 132752, 132744]"
1,155919,11023891,"[155937, 155945, 2743423, 7606082, 7657358]",155913,"[155941, 155949, 155933, 155957, 155925]"
2,159839,159280,"[4824878, 7606082, 4022794, 2743423]",159813,"[159853, 159861, 4053919, 159845]"
3,172754,162293,"[10804041, 2743423, 7606082, 4913256, 4928976, 10804041, 471755]",172746,"[172776, 172768, 172784, 172760, 5788653, 9736182, 9736174]"
4,214873,769563,"[214883, 7606082]",214863,"[214887, 214879]"
5,225580,218296,"[7606082, 225590, 225598, 7616720]",225560,"[225610, 225594, 225602, 225586]"
6,226057,218296,"[226059, 2743423, 2743423, 7606082, 20438271, 7195651, 8577316]",226053,"[226063, 226071, 226079, 226103, 22441620, 20880626, 21173026]"
7,492528,492521,"[471755, 492547, 7606082, 9867541, 2762464, 471755, 7823087]",492525,"[492462, 492551, 492534, 9869682, 492542, 17910070, 18348663]"
8,753387,162293,"[753413, 4824878, 7606082, 753833, 2226852]",753381,"[753417, 753439, 753429, 753393, 14930496]"
9,754267,162293,"[754301, 471755, 2123422, 5881999, 7606082, 2661957, 16675459, 2743423, 2661957, 20438285, 20438271]",754263,"[754305, 754297, 754281, 2882280, 7695850, 9735941, 9735947, 754289, 754273, 61660305, 754313]"
10,754317,162293,"[2743423, 7606082, 5881999]",754227,"[754339, 754323, 754331]"
11,754377,162293,"[7606082, 2661957, 16675459]",754373,"[754391, 754403, 754423]"
12,754475,162293,"[754485, 7606082]",754467,"[754489, 754481]"
13,754551,162293,"[2743423, 11455472, 7606082, 7606100, 11421848, 2661957]",754525,"[754565, 754583, 754575, 754557, 11421851, 11421857]"
14,754722,162293,"[2762464, 7606082, 7606100, 9735931, 7616720]",754720,"[754736, 754744, 754728, 9735934, 9735928]"
15,754869,162293,"[754907, 7606082, 7616720, 10929797]",754863,"[754911, 754885, 754875, 754901]"
16,773100,769563,"[773102, 773112, 773120, 7606082]",773098,"[773106, 773116, 773124, 773134]"
17,773384,769563,"[2762464, 7616720, 2743423, 7606082, 11455472, 2661957, 476483, 4595569]",773353,"[773410, 773398, 773390, 773485, 773443, 773477, 773422, 773461]"
18,773516,769563,"[773552, 7606082, 1113488, 10929797, 4595569]",773511,"[773556, 773542, 1114341, 773524, 773532]"
19,773638,769563,"[773670, 773682, 225598, 7606082, 8045800, 4824878, 2661957]",773634,"[773674, 773686, 225602, 773644, 773662, 12408543, 773652]"
20,774176,769563,"[774186, 2743423, 7606082]",774160,"[774190, 774182, 774203]"
21,774293,769563,"[774295, 774303, 774313, 774321, 7606082]",774277,"[774299, 774307, 774317, 774325, 774334]"
22,774830,769563,"[774832, 774842, 774852, 7606082, 7606082]",774750,"[774836, 774846, 774856, 774866, 7622103]"
23,774986,769563,"[774996, 775006, 7606082]",774886,"[775000, 775010, 774992]"
24,775014,769563,"[775016, 775024, 7606082]",774892,"[775020, 775028, 775036]"
25,775152,769563,"[775164, 775172, 2743423, 7606082, 7606082]",775062,"[775168, 775176, 775204, 775158, 775186]"
26,1513200,7606082,"[1513210, 1513227, 1513237, 749102, 4933586]",1513197,"[1513214, 1513231, 1513241, 1512978, 1513223]"
27,2466509,7606082,"[5602717, 2466511, 2466518, 2466535, 2466545, 2466614, 3863488, 7606070, 3029998, 7606070, 7606070]",2466498,"[2466651, 2466515, 2466522, 2466539, 2466549, 2466618, 2466531, 2466628, 2466638, 7662853, 7670612]"
28,2469250,3586415,"[2429370, 2469283, 2762464, 7606082, 4890222]",2469256,"[2469248, 2469287, 2469263, 2469277, 2469270]"
29,2626152,2626154,"[2429370, 2626161, 2626168, 7606082]",2626158,"[2469214, 2626165, 2626172, 7648040]"
30,2626175,218296,"[2626177, 2429370, 7606082]",225294,"[2626181, 2469210, 2626188]"
31,2626192,218296,"[2626194, 2626201, 2429370, 7606082]",225230,"[2626198, 2626205, 2469203, 2626213]"
32,2626229,7606082,"[2626231, 2626238, 2626245, 2626259, 5271796]",2468819,"[2626235, 2626242, 2626249, 2626263, 2626256]"
33,2626269,7606082,"[2626271, 2626278, 2626285, 5271796]",2626268,"[2626275, 2626282, 2626289, 22122795]"
34,2626296,7606082,"[2626298, 2626305, 2626312, 2626319, 2626326, 17429419]",2468799,"[2626302, 2626309, 2626316, 2626323, 2626330, 5233935]"
35,2626333,7606082,"[1509582, 2626336, 2626355, 2626362, 7606070]",2468773,"[1509586, 2626340, 2626359, 2626366, 2626347]"
36,2626659,2626661,"[2429370, 2626675, 2743423, 7606082]",2626665,"[2469314, 2626679, 2626672, 7621757]"
37,2791906,7606126,"[2123422, 7606082, 7763691]",2791912,"[2791905, 2791919, 7613458]"
38,2792418,162293,"[2123422, 7606100, 7606082]",754114,"[2792396, 2792424, 226103]"
39,2822189,7472862,"[2784471, 2822217, 2822224, 2822169, 7606082]",2822214,"[2822142, 2822221, 2822228, 2822195, 7474554]"
40,2823617,7498606,"[7712252, 2784471, 7606082, 7585631]",2823623,"[2823639, 2823611, 2823630, 15726816]"
41,2824470,7606126,"[2784471, 2824479, 2824486, 7606082]",2824476,"[2824462, 2824483, 2824490, 2824497]"
