,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,1882667,6124763,"[1882677, 1882684, 1882691, 15112775, 12944478, 19061274, 8371225]",1882664,"[1882681, 1882688, 1882695, 1882674, 10138835, 23879135, 5390852]"
1,1882699,6124763,"[1882701, 8371225, 18880197, 19061257, 19061262, 19061267]",1882659,"[1882705, 1882713, 23667588, 23879132, 23879133, 23879134]"
2,2684493,4850740,"[13261253, 2684518, 4850409, 9320569, 14829351, 11106522, 15233041, 8371225]",2684532,"[13261256, 2684522, 2684508, 2684500, 2684515, 11991817, 2679567, 21087155]"
3,2762760,8371225,"[2637812, 5084467, 10015769]",2762774,"[2762745, 6933681, 22332979]"
4,2769619,8371225,"[2769624, 2769632, 10047124, 17246821, 3546334]",2751171,"[2769628, 2769636, 13281569, 21087651, 6060744]"
5,2788939,16460084,"[2788941, 2788949, 2788957, 2788965, 8371225, 11207264]",19013372,"[2788945, 2788953, 2788961, 2788970, 2751541, 21912192]"
6,2809105,12946335,"[14086623, 2809121, 8371225, 14542790, 14542798, 5257289, 17210906]",2809111,"[2809132, 2809125, 2809118, 14542793, 14542801, 14542787, 2809100]"
7,3575298,8371225,"[4888945, 7107084, 16767384]",3575297,"[3575304, 3575311, 21089801]"
8,3575528,8371225,"[3575530, 3575537, 15571023]",8676357,"[3575534, 3575541, 3575526]"
9,3623741,11982072,"[4397287, 3623760, 16226512, 8371225, 16224318]",3623747,"[3623785, 3623764, 3623755, 3623772, 3623726]"
10,4585809,12096730,"[4461322, 4585819, 8371225, 17251561, 17251568]",4585815,"[4585807, 4585823, 13279831, 21100497, 21100498]"
11,4849104,4848300,"[14194234, 4397287, 13057994, 8371225]",4849111,"[4849126, 4849102, 4849119, 16390763]"
12,4849140,18619199,"[4397287, 8371225, 14194234, 14047945]",4849147,"[4849137, 4849154, 19607015, 13280860]"
13,4849191,4848300,"[8371225, 4397287, 4849201, 13057994]",4849198,"[4849219, 4849190, 4849205, 4849212]"
14,4881619,4538613,"[20789298, 20789293, 20789288, 8371225, 20789282, 20789277, 4881629, 4881636, 4881643, 4881629]",4881625,"[62206414, 62206413, 62206412, 13282884, 62206411, 62206410, 4881633, 4881640, 4881647, 4881610]"
15,5088105,5355175,"[4397287, 5088114, 8371225, 14858626, 5088135, 14046245, 16744687, 14046245, 16744672, 16744682, 4727546, 17208392, 12909252]",5088111,"[5088102, 5088118, 5088132, 5088125, 5088139, 5088146, 19476198, 17449271, 19476195, 19476197, 11974021, 20989043, 20989044]"
16,5390846,8371225,"[4848300, 17435371, 17435371]",5390852,"[7761854, 7761861, 5390838]"
17,5391423,8371225,"[5391439, 12096730, 12873722, 17435371]",5391429,"[5391443, 5391436, 17932830, 5391422]"
18,5391460,8371225,"[13282870, 17435371]",5391466,"[13282873, 5391459]"
19,5392919,8371225,"[7107084, 5392936, 13946898, 17435371]",5392926,"[5392933, 5392940, 21100572, 5392918]"
20,5393533,8371225,"[5393543, 13282712, 17435371]",5393540,"[5393547, 13282715, 5390813]"
21,5617977,18427863,"[6459989, 5617979, 5617986, 5617993, 5618000, 5618014, 8371225, 4850409]",5617943,"[62121087, 5617983, 5617990, 5617997, 5618004, 5618018, 5618011, 14730175]"
22,6197289,6195521,"[4541202, 13525684, 8371225]",6197271,"[62174523, 6197295, 13281618]"
23,6364710,18535145,"[6364719, 6364726, 6364733, 10461747, 10004243, 8371225]",6364716,"[6364723, 6364730, 6364737, 6364709, 10004356, 8677062]"
24,6364823,11982072,"[6364832, 6364853, 8371225, 15536019, 10461747, 15414324, 15414318, 13774384, 15536019, 15565587]",6364829,"[6364836, 6364857, 6364864, 6364850, 6364821, 15414327, 15414321, 15414308, 21106849, 6364843]"
25,6830942,4348665,"[4850409, 20184140, 6830958, 6830966, 6830973, 16014875, 8371225, 16880147, 12668819, 191592, 12944429]",6830939,"[5633178, 6830955, 6830962, 6830970, 6830977, 6830948, 6830986, 19925229, 12668822, 10476102, 12668816]"
26,6831864,8371225,"[4847887, 6831874, 12040460, 12738098, 12039793]",6831870,"[6831863, 6831878, 6831892, 6831885, 13590596]"
27,6832451,8371225,"[4848300, 6832460, 4850409, 4542433, 17435371]",6832457,"[6832450, 6832464, 6832471, 17535299, 17650314]"
28,6853806,6535161,"[6923681, 6923688, 6853808, 6853815, 6853822, 8371225]",6853773,"[6923685, 6923692, 6853812, 6853819, 6853826, 21089802]"
29,6853923,8371225,"[14829351, 6853932, 6535161, 5297998, 17248169, 17248174, 17248179, 15571023, 4542433, 5297998]",6853929,"[62193309, 6853936, 6853921, 6853944, 21089821, 21089822, 21089823, 13282460, 13282478, 21089824]"
30,6854231,18144322,"[10228416, 8371225, 17077342]",6854227,"[6854276, 6854246, 6854239]"
31,6857331,8840084,"[6857334, 8371225, 12873722, 4727546]",6857321,"[6857338, 8676575, 6857346, 11974076]"
32,6923209,8371225,"[6535161, 6923218, 11106522, 7855488, 16284489]",6923215,"[6923207, 6923222, 6923229, 6923236, 18106110]"
33,7001322,14493979,"[14858626, 7001345, 8371225, 10140573, 18144322, 12873722]",7001328,"[7001335, 7001349, 7001342, 7001321, 10091151, 17933236]"
34,7001392,14616276,"[10140573, 7001402, 7001409, 7001416, 19806174, 8371225]",7001398,"[7001385, 7001406, 7001413, 7001420, 10854474, 24996203]"
35,7107042,8371225,"[7107044, 7107084, 17248123, 10866520, 19890028]",2751498,"[7107048, 7104958, 21089793, 21089794, 24997264]"
36,7744997,4348665,"[4850409, 4541202, 8371225, 16515841, 16880137]",7744996,"[5633312, 7745017, 7745003, 7745010, 19925225]"
37,7761902,8371225,"[7761904, 7761911]",7761901,"[7761908, 7761915]"
38,7870504,4850740,"[18468751, 15112775, 16264802, 13944254, 8371225]",7870502,"[7870517, 7870510, 7870524, 13944257, 24996307]"
39,7870532,4850740,"[4850409, 11106522, 7870547, 16877424, 8371225, 18468751]",7870531,"[62191066, 7870538, 7870551, 19923722, 19825350, 7870559]"
40,7873567,4850740,"[7873576, 7873590, 15112775, 8371225, 16515841]",7873566,"[7873580, 7873594, 7873587, 7873573, 18581199]"
41,7873604,4850740,"[7873613, 7873620, 7873627, 8371225, 15112775]",7873603,"[7873617, 7873624, 7873631, 7873610, 15113174]"
42,7895135,18619199,"[7895151, 8371225, 8263821, 18437056]",7895132,"[7895155, 7895141, 7895148, 18050287]"
43,7895608,16233306,"[7895624, 7895631, 7895638, 8371225, 15233041, 18619199]",7895614,"[7895628, 7895635, 7895642, 7895621, 7895649, 7895607]"
44,7900407,4390340,"[7900409, 7900417, 7900424, 17041096, 8371225]",7900406,"[7900413, 7900421, 7900428, 11588528, 13281749]"
45,7923670,5355175,"[7923686, 16080562, 16067382, 17208231, 8371225, 17077342]",7923676,"[7923690, 7923683, 7923697, 20988375, 13282853, 7923669]"
46,8219678,13522678,"[8219680, 8219687, 8219694, 8371225]",8219677,"[8219684, 8219691, 8219698, 13282593]"
47,8219752,13522678,"[4113595, 16226101, 8371225]",8219751,"[8219765, 8219772, 8219758]"
48,8234646,11982072,"[8234655, 11465769, 8371225, 14913093]",8234652,"[8234659, 8234673, 8234666, 8234645]"
49,8245457,5087783,"[8245468, 14829351, 7683669, 16143492, 16143497, 8371225]",8245464,"[8245472, 8245453, 12462208, 17705085, 17705086, 13281744]"
50,8264455,8371225,"[8264458, 5355175, 14829351, 17435371]",6832457,"[8264462, 22337624, 8264454, 5390802]"
51,8371223,8371225,"[4538681, 8371232, 8371239, 8371246, 4538681]",8371229,"[8181323, 8371236, 8371243, 8371250, 8371257]"
52,8676115,8371225,"[8676126, 16067382, 4727546, 17245996]",8676110,"[8676131, 8676122, 17448144, 21086904]"
53,8676213,8371225,"[8676222, 4390340, 19209444]",8676212,"[8676226, 8676219, 24119033]"
54,8676233,8371225,"[8676235, 8676242, 10858401, 6851200, 14829351, 17248197, 4542433]",8676232,"[8676239, 8676246, 8676253, 10685482, 22330704, 21089827, 21089828]"
55,8676260,8371225,"[8676262, 8676275, 5297998, 16257962]",8676259,"[8676266, 8676279, 8676273, 13282280]"
