,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,4047113,16312897,"[4022794, 4047146, 9747432, 3282869, 16334915, 12834795]",4047119,"[4047077, 4047150, 4047126, 6288543, 4047140, 13064644]"
1,4047187,14046245,"[4022794, 4047197, 4047213, 4047225, 16334915, 20438424]",4047193,"[4047185, 4047201, 4047217, 4047229, 4047208, 4047241]"
2,7557642,7694722,"[16589933, 7557651, 6412532, 6412532, 16334915]",7557641,"[7557648, 7557655, 6304415, 9740124, 9740137]"
3,7557879,7694722,"[7557881, 7557888, 16334915, 4995321]",7694692,"[7557885, 7557892, 7557899, 7698031]"
4,7697765,7694722,"[7697774, 16334915]",7557600,"[7697778, 7697771]"
5,7751454,9771412,"[10053304, 7751456, 7751485, 16334915, 10053304]",7628159,"[7751467, 7751460, 7751489, 7751474, 20834620]"
6,7896614,7694722,"[7896623, 16334915, 7599503, 2762464, 16589933]",7557872,"[7896627, 7896643, 4412536, 18348847, 7896636]"
