,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,780924,778904,"[780940, 16916273, 14531828, 18495036]",778978,"[780944, 780956, 780930, 15524270]"
1,783051,778904,"[20153309, 783093, 783101, 15535782, 14531828, 17634634, 4321712, 16221632]",782944,"[783081, 783097, 783105, 783057, 783073, 783065, 9890846, 783089]"
2,1172248,14531828,"[1172250, 1113488, 2226852]",1172243,"[1172254, 1171775, 1172270]"
3,2318169,14531828,"[2315731, 2318179]",2318175,"[2318153, 2318183]"
4,2318365,14531828,"[2315731, 2318375, 2647140]",2318372,"[2318347, 2318379, 2318386]"
5,2362113,14531828,"[2226852, 2362122]",2362119,"[2362107, 2362126]"
6,2362191,14950365,"[2226852, 2362201, 14531828]",2362198,"[2362188, 2362205, 2362213]"
7,2410325,4925587,"[14531828, 2413247, 7766016]",2410333,"[2410358, 2410300, 2410343]"
8,2913801,16221632,"[2913810, 14531828, 8551220, 5881999]",2913807,"[2913814, 2913847, 2913836, 2913784]"
9,2917402,8551220,"[2917411, 2917418, 2917432, 2917451, 5881999, 14531828]",2917408,"[2917415, 2917422, 2917436, 2917455, 2917351, 2917429]"
10,3828667,3375053,"[3828683, 3828690, 3828697, 3828704, 3828750, 3828766, 7728206, 10937355, 14531828, 19060764]",3828673,"[3828687, 3828694, 3828701, 3828708, 3828754, 3828770, 3828680, 3828715, 3828761, 3828661]"
11,4180459,15115312,"[14531828, 4180531, 4180565, 3220616, 5343578, 16609090, 11995, 2975298]",4180468,"[4180517, 4180536, 4180569, 4180510, 4180445, 4180496, 4180525, 4180576]"
12,4204290,8551220,"[4163234, 14531828, 7766016, 3034133]",4204296,"[4204289, 4204310, 4204303, 6213247]"
13,4204802,16330265,"[4163234, 14531828, 2975521, 4321712, 3034133, 15374798, 7766016]",21980274,"[4204794, 4204815, 4204838, 4204828, 6213471, 15374801, 15374808]"
14,4319735,987016,"[14531828, 4302562]",988199,"[4319741, 4319729]"
15,4375910,15437842,"[14531828, 4375926, 4375933, 4375942, 4321712]",4375916,"[4375923, 4375930, 4375937, 4375946, 4375867]"
16,4376378,4228864,"[5527368, 14531828, 4321712]",4376384,"[22205611, 4376393, 4376377]"
17,4765969,4096366,"[4765979, 4765993, 7727550, 7752030, 14531828, 477729, 10950391]",4765975,"[4765983, 4765997, 10985435, 12741341, 15086589, 20184436, 4765968]"
18,5077434,474609,"[7766016, 14531828, 2982502, 8644484, 3241605]",5077440,"[5077462, 5077448, 5077470, 5077455, 5077420]"
19,5236339,15437842,"[5236362, 14531828, 10937355, 7581474, 17429419]",5236345,"[5236366, 5236352, 5236373, 5236359, 5236335]"
20,6219887,7827759,"[11579486, 14531828, 6219935, 6219946, 11995, 6246099, 20253950, 19310779]",6219894,"[6219932, 6219924, 6219939, 6219951, 6219903, 6219917, 2275494, 6219910]"
21,6749799,815923,"[2743404, 6749822, 14531828, 17634634]",6749805,"[6749798, 6749826, 6749819, 6749812]"
22,7713218,7628068,"[5602717, 14531828, 5114804]",7713166,"[7713238, 7713224, 7713231]"
23,7765993,7764785,"[14531828, 17634634]",7765991,"[7765999, 7766006]"
24,7766058,7764785,"[7766081, 16916273, 15535782, 9781885, 16221632, 6207232, 14531828]",7766010,"[7766085, 7766078, 7766092, 7766071, 7766624, 8644213, 10920845]"
25,7782364,7764785,"[14531828, 5881999, 16916273, 7776194, 16221632]",7766864,"[7782370, 7782377, 7782384, 7782391, 8662867]"
26,7782416,7764785,"[11024782, 16916273, 7776194, 9745276, 14531828, 16221632]",7766944,"[7782422, 9745223, 7853242, 9745279, 9745216, 7782429]"
27,7823815,4096366,"[7823830, 14531828, 7732444]",7823821,"[7823835, 7823843, 7598817]"
28,7827743,7801255,"[7581474, 7827759, 14531828, 4933586, 11995, 11579486]",7803404,"[7827756, 7827763, 7827777, 7827784, 7827749, 7827770]"
29,7853992,11024782,"[14531828, 7776194, 7854013, 17435666, 8644484]",8663220,"[7853998, 7853984, 7854017, 7854031, 7854043]"
30,8020264,6207232,"[14531828, 7764785, 987016, 11995, 11995, 3134700]",8020284,"[8020277, 8020262, 8020270, 9861172, 12426657, 12426667]"
31,8645156,11024782,"[8644484, 2914073, 8645182, 8645218, 14531828, 11579486]",8645162,"[8645146, 2914077, 8645186, 8645222, 8645214, 8645172]"
32,8645480,778904,"[8644484, 8645492, 14531828]",778987,"[8645478, 8645496, 8645503]"
33,8646912,9781885,"[8644484, 14531828]",18100521,"[8646857, 8646930]"
34,8646974,375628,"[8644484, 8646997, 8647004, 8647022, 8647029, 14531828, 11024782, 15561511]",8646985,"[8646973, 8647001, 8647008, 8647026, 8647033, 14532026, 8646993, 8647015]"
35,8648286,16330265,"[8644484, 8648303, 14531828, 11024782, 18993738]",8648292,"[8648285, 8648307, 8648300, 8663828, 6247589]"
36,8662901,11024782,"[14531828, 7766016, 4321712]",8662900,"[8662914, 8662935, 8662928]"
37,8663082,11024782,"[16916273, 11995, 14531828]",8663061,"[8663089, 8663096, 10941066]"
38,8663247,7752030,"[8663288, 14531828, 7581474, 3034133, 11024782]",8663253,"[8663292, 8663260, 8663276, 10919708, 8663241]"
39,9853547,6207232,"[6290369, 4933586, 14531828]",8644193,"[6401629, 6401665, 10941138]"
40,9861154,6207232,"[14531828, 4321712]",9861119,"[9861165, 9861159]"
41,9890721,4380751,"[4321712, 9890735, 16278312, 18989090, 14531828]",9890726,"[9890705, 9890738, 9890732, 23778836, 15711714]"
42,9907007,16330265,"[4321712, 14531828, 3134700]",21980270,"[9907004, 9907018, 9907024]"
43,10921090,6207232,"[10921092, 7581474, 14531828]",9862148,"[10921095, 10921088, 10921101]"
44,10936365,7581474,"[10936368, 14531828]",10936363,"[10936371, 10936381]"
45,10937490,7581474,"[10937493, 14531828]",10937489,"[10937496, 10937502]"
46,10938208,7581474,"[20281608, 14531828]",10938206,"[10938215, 10938221]"
47,10938756,4228864,"[7581474, 10938770, 14531828]",10938761,"[10938754, 10938773, 10938767]"
48,10939468,10939470,"[7581474, 10939476, 10939488, 14531828]",10939473,"[10939467, 10939479, 10939491, 10939485]"
49,12391799,7764785,"[5997132, 15535782, 14531828]",7765826,"[12391797, 15621355, 12391804]"
50,12439146,4096366,"[3563646, 14531828]",12439143,"[3641272, 12439151]"
51,12525539,9781885,"[14531828, 16221632]",12525544,"[12525550, 12525534]"
52,15085993,15561722,"[11995, 14531828, 15085995, 15086001, 7553465, 7683401]",15086022,"[15086010, 15085991, 15085998, 15086004, 15086016, 17739071]"
53,15086699,15561722,"[14531828, 2413247, 16216886]",21522631,"[15086697, 15086704, 15086710]"
54,15087376,15087397,"[14531828, 15087379, 15087385, 15087391]",15087400,"[15087374, 15087382, 15087388, 15087394]"
55,15087468,15087494,"[14531828, 15087476, 15087482, 15087488, 4228864]",15087497,"[15087466, 15087479, 15087485, 15087491, 17339921]"
56,15088414,14531828,"[15088416, 15088422]",15088412,"[15088419, 15088425]"
57,15088969,4228864,"[14531828, 15088971, 15088977, 15088983, 15088989, 6405396, 20153309]",17339922,"[15088968, 15088974, 15088980, 15088986, 15088992, 8797904, 17919786]"
58,15089011,4228864,"[14531828, 2375, 20101156, 20101161]",17339933,"[15089010, 460640, 25315360, 25315361]"
59,15089091,20286945,"[14531828, 15089093, 15089099, 15089105]",15089114,"[15089089, 15089096, 15089102, 15089108]"
60,15212264,15115312,"[14531828, 15212267, 4228864]",4180468,"[15085853, 15212270, 15212240]"
61,15243469,2982502,"[15243477, 14531828, 16916273, 5881999]",15243445,"[15243480, 15711870, 14854201, 2917315]"
62,15332234,7827759,"[16644725, 19310779, 11995, 14950365, 14531828, 15332244, 15332258, 15332264, 7553465]",15332254,"[18992368, 15629370, 15332239, 14867992, 15086168, 15332247, 15332261, 15332267, 18992367]"
63,15376173,2982502,"[10860792, 15376175, 14531828, 11995]",15376172,"[61363171, 15376178, 15085861, 15094993]"
64,15455608,3375053,"[5527368, 14531828, 7728206, 9781885]",15455626,"[15455620, 15085490, 15455597, 15455614]"
65,15711841,15550522,"[14531828, 15550517]",15711843,"[15711840, 15711842]"
66,15712186,15550630,"[14531828, 19060729, 4228864, 20101356]",15712188,"[15087100, 23719833, 17339663, 25315508]"
67,15712248,14531828,"[15550638, 15550643]",15712247,"[15712249, 15712250]"
