,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,117970,115880,"[117972, 117980, 7606100, 9867541]",117968,"[117976, 117984, 117992, 118000]"
1,118029,115880,"[9867541, 118039, 118063, 471705]",118013,"[118035, 118043, 118067, 118059]"
2,142906,15870533,"[142940, 471755, 9867541, 471705, 4928976]",142896,"[142944, 142936, 142920, 142912, 142928]"
3,142952,15870533,"[142964, 142972, 142982, 9867541, 471755]",142896,"[142968, 142976, 142986, 142998, 142960]"
4,143434,15870533,"[143452, 143460, 4890222, 9867541]",143382,"[143456, 143464, 143440, 7536677]"
5,143483,15870533,"[143493, 143501, 143517, 143525, 5343539, 9867541, 471755]",143481,"[143497, 143505, 143521, 143529, 143513, 143489, 21148656]"
6,143587,15870533,"[143597, 5343539, 9867541, 9883578]",143585,"[143601, 143593, 9883575, 9883581]"
7,143659,15870533,"[143661, 143669, 143683, 143695, 9867541, 471705, 8198913]",143657,"[143665, 143673, 143687, 143699, 143715, 143707, 61698622]"
8,143893,15870533,"[143895, 143903, 9867541, 9883535]",143795,"[143899, 143907, 9883494, 9883538]"
9,143911,15870533,"[474609, 143921, 143937, 143945, 9867541, 471705]",143819,"[143933, 143925, 143941, 143949, 143917, 7536594]"
10,143981,15870533,"[143999, 144011, 144021, 144035, 144043, 144055, 144063, 160708, 9867541, 9867541]",143979,"[144003, 144015, 144025, 144039, 144047, 144059, 144067, 143987, 9881556, 143995]"
11,144835,15870533,"[144837, 144853, 471755, 16310625, 9867541, 160708]",144803,"[144841, 144857, 144849, 144865, 9881486, 144947]"
12,476002,9867541,"[5001606, 748429, 471705]",475999,"[476016, 476008, 475963]"
13,476133,9867541,"[471705, 7582571, 5001606, 3241605, 748429]",476130,"[476034, 476148, 476158, 476140, 476167]"
14,477280,15869266,"[471705, 477299, 9867541]",477277,"[477174, 477303, 477287]"
15,485098,7210938,"[471720, 16310625, 9867541]",485095,"[485076, 485105, 485117]"
16,488303,471755,"[488307, 488331, 488339, 488353, 7599503, 4942150, 9867541]",488261,"[488311, 488335, 488343, 488357, 488319, 488327, 9869989]"
17,488769,488762,"[488771, 471755, 488790, 7606100, 9867541]",488766,"[488775, 488747, 488794, 7620065, 9882209]"
18,491166,17277897,"[491168, 471755, 16310625, 9867541, 2123422, 160708]",491163,"[491172, 491154, 491197, 491188, 2796147, 491180]"
19,492528,492521,"[471755, 492547, 7606082, 9867541, 2762464, 471755, 7823087]",492525,"[492462, 492551, 492534, 9869682, 492542, 17910070, 18348663]"
20,705228,689215,"[705230, 9867541, 7657358]",705214,"[705234, 705242, 705252]"
21,705330,689215,"[9867541, 7195651, 7657358, 7210938, 7210938]",705287,"[705344, 7203639, 7733541, 705336, 705360]"
