,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
95,17933035,1931981,"[12873722, 16067382, 16225367]",16300868,"[10228872, 17933036, 17933037]"
96,17933038,4902386,"[12873722, 4902294]",17870922,"[10228820, 4902298]"
97,17933098,4104476,"[11914894, 12873722, 9999430, 16225441]",13634007,"[19350154, 17933096, 19350155, 17933099]"
98,17933115,16225504,"[12873722, 12873722, 16225498]",17933117,"[10227863, 10227865, 17933116]"
99,17933207,19806174,"[13094742, 12873722, 16138932, 16225590]",10854575,"[24892571, 10234320, 17694932, 17933208]"
100,17933641,12152231,"[12873722, 16225870]",7901089,"[17933126, 17933642]"
101,17933648,12873722,"[19354876, 19354871, 19354866, 19354861, 16515841, 16225878, 16225883]",10228346,"[24325768, 24325767, 24325766, 24325765, 24325764, 17933649, 17933650]"
102,17933668,4124563,"[12873722, 16225890, 16225895, 4538613]",6825167,"[17933664, 17933669, 17933670, 6823435]"
103,17933671,2183099,"[12873722, 16225903, 16225908]",2175433,"[17933661, 17933672, 17933673]"
104,17933741,12873722,"[16225986, 16225991, 16225996, 16226039, 4727546]",17932944,"[17933743, 17933744, 17933745, 17933811, 17933742]"
105,17933796,3975437,"[12873722, 16226012, 10498233, 4727546]",17933799,"[17932951, 17933797, 17933798, 20909682]"
106,17933802,4727546,"[8840084, 12873722, 16226028]",11974062,"[17933804, 17932941, 17933803]"
107,17933894,12873722,"[8840084, 16226079, 16226089]",17933751,"[17933896, 17933895, 17933897]"
108,17933900,12873722,"[16226095, 16094621, 16226101]",17933754,"[17933901, 17535321, 17933905]"
109,17933912,8840084,"[12873722, 16226107, 16226112, 16226117]",17472967,"[17933911, 17933913, 17933914, 17933915]"
110,17934121,12873722,"[16226289, 16094621, 16226101, 16226296]",17933756,"[17934122, 17535436, 17933905, 17934123]"
111,17934174,4113595,"[16181494, 12873722, 16226319, 5607156, 13057994]",6823401,"[24038219, 10228618, 17934175, 17934176, 18103991]"
112,17934179,18144322,"[12873722, 16226331]",6854356,"[10229055, 17934180]"
113,17934197,5355175,"[12873722, 8242075, 13224245]",10471263,"[17934188, 8242079, 17944363]"
114,17934379,12152231,"[20026843, 12873722, 17077342, 16226567]",7899339,"[18650989, 17934376, 20710458, 17934380]"
115,17934381,11117265,"[12873722, 16226576, 16226581]",17934384,"[17934367, 17934382, 17934383]"
116,17934389,12152231,"[12873722, 16226609]",17934391,"[17934353, 17934390]"
117,19475717,15504376,"[9558848, 12873722, 10398171, 7924478, 10398171, 8039617, 14046245, 10498233]",10017235,"[12718273, 10498230, 12833835, 12824606, 12891499, 12896856, 10097480, 12716382]"
118,19645752,4113612,"[9558848, 9320569, 10053734, 12873722, 16232840, 14046464]",19644103,"[13003386, 19644106, 19644109, 19644108, 12714361, 13401433]"
119,19761462,10090379,"[16310605, 8026224, 12873722, 12787696]",19761464,"[19761463, 19761461, 9550048, 12820937]"
120,20486481,5355175,"[12873722, 16975615, 16975620, 10017073]",17940904,"[20486485, 20486486, 20486487, 12832490]"
121,20986064,5355175,"[12873722, 17207614, 17207629, 17207639, 17207644, 17207649, 17207654, 17207659, 17208289, 15112775]",10470032,"[17934394, 20986065, 20986068, 20986070, 20986071, 20986072, 20986073, 20986074, 20988569, 20986069]"
122,20989304,5355175,"[12873722, 16405076, 17208518, 10378597, 10017073, 17208525, 16974074, 14046245]",17934267,"[17934254, 17173570, 20989305, 17173558, 20484432, 20989306, 20484440, 17934266]"
123,21504516,13545270,"[7280270, 19919758, 4034528, 12873722, 17435366, 17435371]",17932375,"[25292800, 21504517, 2783649, 21504520, 21504518, 21504519]"
124,22957491,18585674,"[20395646, 15109405, 13300211, 13300211, 12809206, 12809152, 12873788, 12873782, 12873782, 12873722, 12873716, 18393385]",22957490,"[22957510, 22957499, 22957501, 22957494, 13300226, 22957492, 22957493, 22957506, 22957509, 22957496, 22957495, 22957497]"
125,23060567,13545270,"[19919758, 12873722, 18464292]",12945820,"[23060568, 13545361, 23060569]"
126,24325466,18144322,"[16515841, 12873722, 19354610, 19354605]",6854173,"[24325469, 10228907, 24325468, 24325467]"
127,24325819,12873722,"[20269523, 19354965, 19354959]",10228891,"[24325818, 24325821, 24325820]"
