,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
95,18298040,4037028,"[14206438, 5899328, 16372672, 8237648, 14087107, 17580772, 17580777, 17580782, 4538738]",5448487,"[19588351, 18298039, 18298042, 15112255, 18298041, 21740861, 21740862, 21740863, 21740860]"
96,18298063,11323022,"[14194234, 14087107, 5899328, 20765392, 20765398, 20765403, 20765408]",15305909,"[19591385, 16851284, 14239019, 62195452, 62195453, 62195454, 62195455]"
97,18340615,7280270,"[16393455, 19111930, 5899328, 14046720, 14199565]",10685936,"[18340617, 18331689, 18340616, 23998797, 24162684]"
98,18342004,12809976,"[14203725, 16393772, 16393777, 5899328, 7280270]",10691072,"[18342003, 18342005, 18342006, 18392710, 23996078]"
99,18342016,7280270,"[14203725, 16393808, 19139253, 14048538, 14048876, 14045489, 5899328]",10689626,"[14204413, 18342017, 14087865, 23886623, 18372609, 16886600, 18392701]"
100,18371707,19133921,"[14194234, 14087107, 16407222, 16407227, 16407232, 16407237, 15352983, 5899328, 14194234]",16868577,"[19591247, 18734552, 18371708, 18371709, 18371710, 18371711, 18371704, 14239068, 18735731]"
101,18372150,7280270,"[14048876, 5899328, 14048538]",10689537,"[18372148, 5903863, 23886600]"
102,18372184,12809976,"[14048876, 16407642, 16407648, 14048876, 5899328, 14048538, 14048538]",10691069,"[18372173, 18372186, 18372187, 18372213, 18372185, 23886629, 23996088]"
103,18372232,12809976,"[14048876, 5899328, 19236415]",16885816,"[10514903, 18372233, 24150997]"
104,18372577,12809976,"[14048876, 19111228, 19139253, 5899328, 14048538, 19238024, 10214270, 20071503, 14045489]",10690048,"[18372576, 23954362, 23954364, 5903959, 23886634, 24153308, 24153333, 23888832, 24153330]"
105,18372633,7280270,"[14048876, 5899328]",10689758,"[18372628, 18372634]"
106,18385099,4732074,"[16433395, 14203725, 19111930, 5899328]",6511847,"[18385101, 18647993, 18385098, 18385351]"
107,18385373,13326486,"[5899328, 16413493, 16413497, 14203725, 19111930, 14086309]",18385376,"[18385372, 18385374, 18385375, 18357614, 18385186, 24049708]"
108,18385405,4213417,"[5899328, 16413510, 16413515, 17992665, 17113303, 17113308, 11351677, 15573597, 19111930]",6511126,"[18385404, 18385406, 18385407, 17923891, 20821549, 20821550, 11351680, 11351674, 18647702]"
109,18385415,4584506,"[5899328, 4070949]",18385417,"[18385394, 18385416]"
110,18385425,4732074,"[5899328, 16413538, 17347377]",6511795,"[18385423, 18385426, 21334355]"
111,18385481,7164894,"[5899328, 16413559]",15361499,"[18385480, 18385482]"
112,18385496,20627000,"[14194234, 5899328, 16413568, 16413572, 16413579, 14085813, 16556081, 16556091, 16556096, 14047130, 14046720]",12770265,"[19614437, 18385495, 18385497, 18385498, 18385499, 18815662, 18815661, 18815663, 18815664, 23903431, 18735555]"
113,18385505,10492631,"[5899328, 16413585, 16477992, 14199565]",12640160,"[18385504, 18385506, 18551096, 18551095]"
114,18385507,14866842,"[5899328, 11323467, 14087107, 14203725, 19111930, 19111930, 14047760, 19259018, 14194234]",17891645,"[14239060, 18385509, 18385508, 18357519, 17891650, 18733525, 19763326, 19638946, 17891651]"
115,18385516,4840830,"[8026224, 16413605, 16413609, 11323467, 5899328, 19259018]",4842066,"[18735826, 18385517, 18385518, 18385519, 18385512, 18385520]"
116,18385597,19766546,"[5899328, 16413672]",7741799,"[18385596, 18385598]"
117,18385611,4840830,"[5899328, 16413687, 16413692]",4842057,"[18385610, 18385612, 18385613]"
118,18385614,14866842,"[14194234, 14199565, 14087107, 5899328, 14194234, 14087107, 14203725, 19133872, 19111930, 19111930, 19277410]",17891594,"[18735444, 18734486, 17891622, 14239047, 18385615, 19598094, 14204055, 18385616, 17891623, 17891621, 24201538]"
119,18385673,4037028,"[5899328, 16413714, 16888721, 17580718, 17580723, 17580728, 17580734, 17580739, 18189967, 19139253]",18385675,"[18385671, 18385674, 19970405, 21740817, 21740818, 21740819, 21740835, 21740836, 19970404, 19970403]"
120,18385678,10219170,"[14194234, 14087107, 14206438, 14199565, 5899328]",10220210,"[19615070, 4805117, 19589203, 18331286, 18385640]"
121,18392480,16119910,"[5899328, 16417580, 16417585, 12019432, 17572425]",17799322,"[18392479, 18392481, 18392482, 12913606, 21725078]"
122,18392557,16515841,"[14087107, 16805098, 16805104, 5899328, 16417603]",12758252,"[19615674, 19615679, 19615680, 18392547, 18392558]"
123,18392585,7280270,"[5899328, 16417611]",10685978,"[18392578, 18392586]"
124,18392588,7280270,"[5899328, 16417623, 16417627]",10685970,"[18392570, 18392589, 18392590]"
125,18392653,7280270,"[5899328, 16417655, 14045489, 16846289, 13867739, 19244585]",10685955,"[18392652, 18392655, 23888596, 4567597, 13867742, 24162693]"
126,18392689,7280270,"[16417672, 5899328]",18392691,"[18392690, 5903893]"
127,18392738,7280270,"[16417689, 14048538, 19139253, 5899328, 5899328]",10689691,"[18392739, 18392740, 24156829, 24156843, 18392737]"
128,18392748,12809976,"[14048538, 14048538, 10214270, 16432464, 10214270, 16432470, 14048538, 14045489, 5899328]",10691050,"[18392749, 16885947, 16885534, 18428802, 16885592, 18428803, 23886644, 16886640, 18392747]"
129,18392766,12809976,"[16417709, 16417713, 16432475, 16432480, 7280270, 14048876, 5899328]",10690049,"[18392767, 18392768, 18428804, 18428805, 10689722, 23953962, 18392764]"
130,18392791,7280270,"[14048538, 16417729, 10222780, 14048538, 19139253, 14045489, 5899328]",10689758,"[16885373, 18392793, 16885314, 18392792, 14087900, 16885336, 18355640]"
131,18392820,12809976,"[16417740, 16417744, 16417749, 5899328]",16172512,"[18392821, 18392822, 18392823, 18392816]"
132,18393106,4070588,"[5899328, 7992966]",5866756,"[5904394, 17770518]"
