,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,4162783,16042066,"[4060628, 4162798, 4162821, 20780626]",4162789,"[4162817, 4162802, 4162825, 62202666]"
1,4486244,16042066,"[3180525, 4538613, 4538613]",4486250,"[4486226, 4486257, 4486264]"
2,4695191,16135825,"[12944679, 10929871, 16042066]",4695197,"[4695211, 4695188, 4695204]"
3,6017156,14972063,"[16009807, 5997121, 6017182, 15880002, 16042066, 8548270]",6017163,"[6017201, 6017155, 6017186, 6017194, 6017179, 6017170]"
4,6017219,14972063,"[16042066, 5997121, 8548270, 15880002]",6017225,"[6017246, 6017216, 6017232, 6017239]"
5,6017680,14972063,"[5997121, 6017696, 16042066]",6017686,"[6017678, 6017700, 6017693]"
6,6017712,14972063,"[5997121, 6017721, 16042066]",6017718,"[6017708, 6017725, 6017732]"
7,6018079,14972063,"[5997121, 6018095, 6018102, 6018110, 16042066, 8159979]",6018085,"[6018076, 6018099, 6018107, 6018114, 6018092, 62245229]"
8,7217931,16042066,"[4538613, 3180525, 16042113]",7217937,"[7217944, 4486294, 17356853]"
9,7218733,3180525,"[7218735, 7218749, 7218756, 7218763, 10860798, 16042066]",7218729,"[7218739, 7218753, 7218760, 7218767, 7218746, 17356587]"
10,7219662,20739905,"[3180525, 16042066]",7219668,"[7218698, 7219675]"
11,7236052,16042066,"[4060628, 7236075, 19797637, 17589660, 4060628]",7236058,"[7236050, 7236079, 7236065, 7236072, 7236084]"
12,7236166,16042066,"[4060628, 7236182, 7236189, 7236196, 17589660, 16009786]",7236172,"[4161642, 7236186, 7236193, 7236200, 7236179, 17225746]"
13,8073559,16042066,"[8073568, 8073575, 8073582, 8057753]",8073565,"[8073572, 8073579, 8073586, 8073511]"
14,8455151,14972063,"[8548270, 16042066]",8455157,"[8455150, 8455164]"
15,10092846,16042066,"[4538613, 10092860, 17589660, 19797637, 19797637]",10092851,"[10092845, 10092863, 10092857, 21807573, 24893203]"
16,10092908,20559154,"[4538613, 10092916, 16042066, 17589660, 16042066, 16042066]",10092913,"[10092907, 10092919, 10092925, 21783364, 62202581, 62202667]"
17,11387322,7944660,"[15880002, 11387330, 16042066]",11387321,"[11387339, 11387333, 11387327]"
18,13241377,5078760,"[13241379, 16042066]",6567661,"[13241382, 13241388]"
19,14751879,8095967,"[14751881, 16042066, 14751895, 14751902, 14751908, 14751915, 14751922, 15344242]",14751859,"[14751884, 14751892, 14751898, 14751905, 14751911, 14751919, 14751926, 14751932]"
20,15043530,16135825,"[15043533, 15043539, 16042066]",15043548,"[15043536, 15043542, 15043529]"
21,15043565,14972063,"[15043567, 15043575, 16042066]",15043584,"[15043570, 15043578, 15043564]"
22,15043597,16135825,"[15043605, 15880002, 16042066]",15043614,"[15043608, 15043602, 15043596]"
23,15043626,14972063,"[16650549, 15043628, 14524842, 16042066]",15043638,"[19006896, 15043631, 22619052, 15043625]"
24,15043759,14972063,"[15043761, 15043767, 15043773, 16042066]",15043784,"[15043764, 15043770, 15043776, 15043755]"
25,15043821,15276566,"[15043829, 16042066]",15043838,"[15043832, 15043820]"
26,15043867,14972063,"[15043869, 8159979, 16042066, 20361774]",15043884,"[15043872, 15043878, 15043866, 62209065]"
27,15043896,16120626,"[15043898, 15043915, 15043922, 20361774, 10929871, 16042066]",15043937,"[15043901, 15043918, 15043925, 15043907, 15043931, 15043894]"
28,15044223,16120626,"[15044225, 15044231, 15044237, 15044243, 15044249, 16042066]",15044258,"[15044228, 15044234, 15044240, 15044246, 15044252, 15044222]"
29,15044336,14972063,"[15044344, 16042066, 14268359]",15044353,"[15044347, 15044335, 15044341]"
30,15044401,14972063,"[15044409, 15044415, 14268359, 16042066]",15581254,"[15044412, 15044418, 15044406, 15044382]"
31,15044727,14972063,"[15044729, 15044735, 15044741, 15044747, 15044753, 16042066]",15044768,"[15044732, 15044738, 15044744, 15044750, 15044756, 15044726]"
32,15044799,14972063,"[15044801, 16042066, 16042066]",15044818,"[15044804, 15044810, 15044798]"
33,15257409,15257424,"[6274400, 15257411, 15257417, 16042066]",15257427,"[15257376, 15257414, 15257420, 61964385]"
34,15347805,16042066,"[15344242, 15347807, 4060628, 19797637]",17356500,"[15347804, 15347810, 7236086, 15347817]"
35,15581141,14972063,"[15520672, 15520677, 15520687, 15520744, 15880002, 16042066]",15581140,"[15581142, 15581143, 15581145, 15581171, 17021356, 15581144]"
36,15581162,14972063,"[15520724, 15520729, 15520734, 15520739, 15880002, 16042066]",15581150,"[15581163, 15581164, 15581165, 15581166, 17021361, 24908041]"
37,17165865,16120626,"[15880002, 15977036, 16042066]",17165867,"[17165857, 17165866, 15044265]"
38,17165868,15977070,"[15880002, 15977049, 15977055, 15977060, 15977065, 16042066]",17165873,"[17021200, 17165869, 17165870, 17165871, 17165872, 15044263]"
39,17166063,15029753,"[15880002, 16042066, 16042066]",7540116,"[17021131, 15044096, 17166065]"
40,17166162,14972063,"[16042066, 15880002, 15979876, 15977394, 15977399, 15977405, 16042066]",19006620,"[15043966, 17021039, 17166163, 17166166, 17166167, 17166169, 17166165]"
41,17166287,16135825,"[15880002, 16042066]",17166288,"[17166283, 15043817]"
42,17168350,14972063,"[15880002, 15979034, 16042066]",17168355,"[17166406, 17168352, 15043563]"
43,17168367,14972063,"[15880002, 15979103, 16454833, 16042066]",17168370,"[17166401, 17168369, 17168368, 15043591]"
44,17225734,16000376,"[16000356, 16000361, 16000366, 16009786, 16042066]",17225740,"[17225735, 17225737, 17225738, 17005316, 17225739]"
45,17335884,3695219,"[16037036, 16945771, 16042066]",3696074,"[17335885, 17335883, 17335886]"
46,18111367,3711289,"[16286497, 16042066]",18111365,"[18111370, 18111369]"
47,18508272,14972063,"[16009807, 16460293, 16460298, 16042066]",18508275,"[18508269, 18508273, 18508274, 62202527]"
48,21783188,16042066,"[17589660, 17601500, 17601506, 17601517, 7237192]",17356504,"[21783184, 21783191, 21783192, 21783194, 21783193]"
49,21783227,16042066,"[17589660, 17601531, 17601536, 20780522, 20780527]",21783228,"[21783226, 21783229, 21783230, 62202628, 62202629]"
50,21783374,15965266,"[17601582, 17601587, 17589660, 16042066]",18860187,"[21783376, 21783377, 21783372, 61963194]"
51,21928836,14972063,"[16042066, 2951828, 17708732, 17708737, 20361774]",19006627,"[21928840, 21928835, 21928838, 21928839, 21928837]"
52,22236409,20361774,"[7416644, 17935514, 16042066]",22236410,"[15317535, 22236412, 22236411]"
53,22748873,14972063,"[18269192, 18269197, 18269202, 18269212, 16460277, 18269220, 18269226, 18269236, 14524842, 16042066, 8159979]",19006511,"[22748874, 22748875, 22748876, 22748879, 19010811, 22748882, 22748884, 22748887, 22619533, 61964122, 22748885]"
54,23842803,5066459,"[19039998, 19040003, 19040008, 19040092, 16042066]",958143,"[23842805, 23842806, 23842808, 23842797, 62202786]"
55,24908004,19080125,"[19803383, 19803388, 19803393, 16042066]",17670646,"[24908005, 24908006, 24908007, 24908003]"
56,24908017,19803400,"[16042066, 19803405, 19803410, 19803415, 19803420]",24908018,"[24908016, 24908019, 24908020, 24908021, 24908022]"
57,24908076,14972063,"[16042066, 19803435, 19803445, 16454833, 20361774]",19006607,"[24908075, 24908077, 24908079, 24908078, 62209076]"
58,24908184,14972063,"[16042066, 19803521, 19803526]",19006589,"[24908183, 24908185, 24908186]"
59,24908191,14972063,"[16042066, 19803533, 19803538, 8159979]",19006593,"[24908190, 24908192, 24908193, 24908194]"
60,24918577,16042066,"[19814777, 4538613, 19814783, 19814788, 19814793, 10866520, 20779698]",17356616,"[24918578, 24918576, 24918579, 24918580, 24918581, 21270809, 62202554]"
61,25430243,16042066,"[14522404, 4060628]",7236172,"[25423473, 7232688]"
62,61553522,14972063,"[8159979, 16042066]",19006545,"[61553518, 15043620]"
63,61872815,20559154,"[20559343, 20559333, 20559358, 21149895, 16042066, 20559353]",61872814,"[61872818, 61872816, 61872821, 61872819, 61872817, 61872820]"
64,61963144,5200027,"[16042066, 5199756, 20622572]",19185172,"[17356647, 5200143, 61963145]"
65,61963160,16042066,"[10866520, 20622581]",17356618,"[61963161, 61963162]"
66,61963163,16042066,"[20622587, 20622592, 14540896]",17356615,"[61963164, 61963165, 21765196]"
67,61963172,16042066,"[20622599, 20622604]",17356594,"[61963173, 61963175]"
