,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,2740054,2637812,"[2740060, 7103960, 5356438, 7103974, 12036009]",2739867,"[2740064, 7103964, 7103971, 7103978, 12777307]"
1,2754664,2637812,"[2754669, 2754728, 2754742, 2754751, 12036009, 4881629]",2739102,"[2754673, 2754732, 2754746, 2754755, 2754739, 4882787]"
2,2788537,3546334,"[2637812, 2788553, 2788560, 12036009, 11578255]",2788543,"[2739859, 2788557, 2788564, 2788550, 11578258]"
3,3327380,18623736,"[3327382, 3327396, 12036009, 4274364]",3327355,"[3327386, 3327400, 3327393, 6809094]"
4,4346236,12036009,"[4346251, 4346258, 4346265, 4524871, 17570983]",4346242,"[4346255, 4346262, 4346269, 4346169, 21724462]"
5,4481203,3180525,"[12036009, 4481210, 4481218, 4481225, 4481233, 4481255, 4481271, 5231557]",4481180,"[4481267, 4481214, 4481222, 4481230, 4481237, 4481259, 4481275, 4481248]"
6,4982814,18520222,"[4028114, 4982816, 4982824, 4042315, 12036009]",5130191,"[4982810, 4982820, 4982828, 12124380, 21724468]"
7,5841982,18520222,"[5841984, 5841991, 12036009, 5236962]",5841981,"[5841988, 5841995, 13293138, 21382035]"
8,5842173,18520222,"[5842175, 12036009]",5842142,"[5842179, 5842186]"
9,6301354,17570646,"[6299908, 12036009]",6301361,"[6301350, 6301370]"
10,6464392,12036009,[16690920],6464398,[6464384]
11,6489563,17071666,"[14199031, 6489565, 4289773, 12036009, 4717729]",6489562,"[19029437, 6489569, 6489576, 21724542, 24284580]"
12,6489585,17071666,"[6489595, 6489604, 4042315, 4289773, 4042315, 12036009]",6489584,"[6489599, 6489608, 6489615, 6489592, 6802447, 12853618]"
13,6498292,12036009,"[10089193, 5309932, 6498315, 14087339, 5236962]",6498298,"[6498312, 6498291, 6498319, 6498305, 21724469]"
14,6500951,12036009,"[5309932, 14087339, 17571010, 10089193, 18425292, 8688631]",6500957,"[6500941, 6500964, 21724475, 10335781, 6500971, 24375332]"
15,6501024,5309932,"[14199031, 8688631, 12036009]",6498254,"[6501030, 6501037, 6501044]"
16,6933736,16016325,"[5084467, 6933739, 6933746, 6933753, 6933760, 16016325, 12036009]",3575908,"[6933735, 6933743, 6933750, 6933757, 6933764, 3575909, 21724895]"
17,6994353,4789016,"[4901446, 4263694, 6994369, 18619481, 12036009, 20773295]",6994359,"[6994351, 6994366, 6994373, 6994383, 21724623, 62199670]"
18,7103981,2637812,"[7103983, 12036009]",2739862,"[7103987, 7103994]"
19,7134144,4538613,"[9354613, 7134167, 7134174, 16945771, 14540896, 12036009, 12036009]",7134150,"[7134142, 7134171, 7134178, 7134185, 7134157, 7134164, 21724153]"
20,7181154,5238494,"[7181156, 7181163, 12036009]",7181151,"[7181160, 7181167, 7181174]"
21,7212432,8152399,"[3180525, 7212441, 7212448, 12036009]",7212438,"[7212399, 7212445, 7212452, 7212459]"
22,7220085,3180525,"[10860798, 7220087, 7220094, 14540896, 10053304, 12036009]",7212393,"[7220105, 7220091, 7220098, 7220112, 20834564, 13293239]"
23,7925851,12036009,"[5354379, 7925867, 5236962, 13122002, 13469645]",7925857,"[7925850, 7925871, 7925878, 7925864, 13578883]"
24,7925958,12036009,"[5354379, 7925974, 13469645, 15879345, 15879345, 5236962]",7925964,"[7925957, 7925978, 7925971, 16551198, 17027297, 7925985]"
25,8097538,12809923,"[8097558, 11958584, 12036009, 12909252, 4037028, 12910765, 13331372, 17435371, 12036009]",8097537,"[8097563, 8097578, 8097547, 8097570, 8097555, 8097602, 8097591, 8097609, 21724933]"
26,9002013,12036009,"[8688631, 13873694]",4346242,"[9002012, 9002020]"
27,9004147,12036009,"[8688631, 13469645, 18504421, 17572201, 5236962]",9004153,"[9004146, 9004166, 9004160, 21724954, 16551480]"
28,10092621,4538613,"[10092623, 12036009]",10092620,"[10092626, 10092632]"
29,10168734,16091843,"[10168736, 10168744, 10168750, 5358138, 12036009, 18418512, 10858401]",10168765,"[10168739, 10168747, 10168753, 10168759, 17659829, 10168682, 24062279]"
30,10314377,12820085,"[10314380, 10314386, 10314392, 16947745, 12036009, 16948661, 16948666, 13276276, 10891221]",10314349,"[10314383, 10314389, 10314395, 20362220, 13276274, 20363596, 20363597, 13276279, 11912043]"
31,10314518,12820085,"[16337850, 10314527, 10314547, 12036009, 13276463, 16948782, 4387828]",10314450,"[10314538, 10314530, 10314550, 13293335, 13276466, 20363671, 13476842]"
32,10314701,12820085,"[10314703, 15536019, 10314660, 16947654, 12036009]",10314425,"[10314706, 17570979, 10314663, 20362153, 10314718]"
33,10830806,8421329,"[15344242, 10830808, 10830872, 17435371, 8097558, 15344242, 12036009]",10830805,"[10830823, 10830811, 10830875, 10831088, 19147384, 10831107, 21724922]"
34,10830888,8421329,"[10830890, 10830896, 10830902, 10830908, 12036009, 10831115, 10831122, 10831131]",10830805,"[10830893, 10830899, 10830905, 10830911, 10830917, 10831118, 10831125, 10831134]"
35,10831183,8421329,"[16721794, 16720621, 16721803, 12036009, 16721815, 15344242, 10831215, 10831226, 16721784, 16721789, 12036009, 17435371]",10831349,"[19322909, 19321273, 19322925, 12777177, 19322952, 10831188, 10831218, 10831229, 19322902, 19322908, 21724937, 10831194]"
36,11375047,17071666,"[11375049, 11375061, 12036009]",6486180,"[11375052, 11375064, 11375058]"
37,11577758,3546334,"[11577760, 11577766, 12036009]",11577754,"[11577763, 11577769, 21724882]"
38,11577776,14829351,"[3546334, 11577784, 12036009]",11577781,"[11577774, 11577787, 21724793]"
39,11971418,16253107,"[4478328, 11971427, 11971433, 11971439, 12036009]",11971423,"[11971402, 11971430, 11971436, 11971442, 13642288]"
40,12768779,12036009,"[12768787, 18504421, 15571023, 17571123, 17571128, 13122002, 17571139, 5236962]",12768778,"[12768790, 12768784, 19714864, 21724503, 21724504, 21724505, 21724506, 21724955]"
41,12777210,12683525,"[12777213, 12777219, 12036009, 16610948]",12732613,"[12777216, 12777222, 12777208, 18930737]"
42,12777237,12683525,"[12777239, 18619481, 16971943, 12036009, 16611207]",12777229,"[12777242, 12777249, 12777255, 12777236, 18930802]"
43,12777355,16013584,"[12777363, 12036009, 20872488]",12777360,"[12777366, 12777354, 12777372]"
44,12777389,16013584,"[12777397, 12777403, 12036009]",12777394,"[12777400, 12777406, 12777388]"
45,12797944,12036009,"[4042315, 15571023, 17571194, 17571199, 15571023, 15571023, 13885023]",12797952,"[12797889, 12797967, 21724546, 21724547, 21724548, 21724545, 12797958]"
46,12853520,12036009,"[15600832, 15600611, 15571023, 5236962, 15571023]",12853519,"[12853543, 12853537, 12853525, 21382519, 12853531]"
47,12853557,12036009,"[4978454, 12853561]",12853550,"[12853570, 12853564]"
48,12853583,12036009,"[12853591, 5236962, 4978454]",12853582,"[12853594, 12853588, 5426702]"
49,12853626,12036009,"[13881810, 4326520, 15571023, 12914014, 17571256, 17571261, 17571266]",12853625,"[12853631, 12853637, 12853643, 15784606, 21724559, 21724560, 21724561]"
50,12853647,12036009,"[12853649, 12853655, 12853662]",12853625,"[12853652, 12853658, 12853665]"
51,12853676,12036009,"[12853678, 12853684, 12853690, 15571023, 17571214, 17571224, 17571229, 10089193, 20783654]",12853674,"[12853681, 12853687, 12853693, 15784553, 21724550, 21724552, 21724553, 24127536, 21724551]"
52,12853717,12036009,"[5236962, 10089193, 18425292, 20267628]",12853716,"[12853728, 10335775, 12853722, 12853734]"
53,12853757,12036009,"[12853765, 12853771, 5236962, 10089193, 10089193]",12853756,"[12853768, 12853774, 12853762, 21724474, 21724473]"
54,12853779,12036009,"[12853781, 8688631, 17570995, 17571050, 17571055, 17571281, 18425292, 14088149, 5236962]",12853778,"[12853784, 9004340, 21724470, 21724487, 21724488, 21724571, 21450717, 12853790, 21724489]"
55,12853804,12036009,"[12853806, 12853812, 13881374]",12853802,"[12853809, 12853815, 12853821]"
56,12882834,12683525,"[11069280, 12882844, 12882850, 12882858, 12882864, 12882870, 12882876, 16715888, 16715895, 12036009, 4888945]",12882839,"[12882806, 12882847, 12882853, 12882861, 12882867, 12882873, 12882879, 19259484, 19259490, 21724421, 9548805]"
57,12886412,11069280,"[12886416, 12886422, 12886428, 12886438, 12886453, 12886464, 4034528, 16119910, 12036009, 11064947]",12886370,"[12886419, 12886425, 12886431, 12886441, 12886456, 12886467, 12886513, 12886488, 12886473, 62183880]"
58,12990635,12036009,"[12990643, 12990649, 12990657, 8688631, 8688631]",12768762,"[12990646, 12990652, 12990660, 9004209, 12990640]"
59,13008399,13122002,"[13008401, 13008408, 12036009, 12036009, 17589185, 5236962, 17589192]",13008397,"[13008404, 13008411, 13008417, 13008425, 21759411, 21759393, 21759417]"
60,13032062,18504421,"[13032922, 13032928, 13032939, 17071666, 6570401, 6570401, 12036009, 17571066, 17571076, 5236962]",13032067,"[13032925, 13032931, 13032942, 13032061, 13032073, 13032981, 13294822, 21724490, 21724492, 21724491]"
61,13033265,12036009,"[13033267, 13033273, 13033279, 15571023, 18504421]",12768831,"[13033270, 13033276, 13033282, 19714838, 13033250]"
62,13033418,12036009,"[13033436, 5354379, 5236962, 17570969, 18504421]",13033424,"[13033439, 13033430, 21724438, 21724441, 13033409]"
63,13228822,8769405,"[13228850, 13295079, 14376987, 7867016, 12036009]",13228827,"[13228853, 13228833, 13228847, 13228821, 13228839]"
64,13276495,13276511,"[13276497, 4790782, 12036009, 12820085]",13276514,"[13276500, 13276506, 13293201, 13276492]"
65,13293075,12036009,"[13293083, 13293089, 13293094, 4791651, 5236962, 17571209]",12853670,"[13293086, 13293092, 13293097, 13293080, 13293103, 21724549]"
