,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,283948,1706711,"[283954, 283962, 283972, 283980, 283990, 11833433, 13058240]",283814,"[283958, 283966, 283976, 283984, 283994, 284004, 18925950]"
1,284343,1706711,"[284357, 284365, 284373, 284381, 284395, 6569171, 284439, 284449, 284467, 284477, 284487, 284497, 5494171, 5078760, 13058240, 14087339, 16609114, 16609119, 16609134, 14087107, 14085813, 15552753]",284309,"[284361, 284369, 284377, 284385, 284399, 284351, 284443, 284453, 284471, 284481, 284491, 284501, 284411, 284423, 18928934, 18656954, 18928936, 18928937, 18928940, 18928938, 18928939, 20690126]"
2,3327855,18623736,"[13058240, 3327857, 3327871, 3327878]",3327854,"[3327868, 3327861, 3327875, 3327882]"
3,3465057,4715415,"[3465073, 3465080, 4719759, 17436092, 17251888, 7855607, 10219170, 13058240]",3465055,"[3465077, 3465084, 3465070, 3465063, 21100891, 7680645, 21100892, 13059354]"
4,3550084,3546835,"[3550093, 18161279, 4929679, 13058240, 14199031, 13058240]",3299118,"[3550097, 3550104, 3550111, 3550090, 14199176, 18927922]"
5,3550210,3546835,"[13058240, 14199031]",3550209,"[3550225, 3550216]"
6,3550236,3546835,"[13058240, 6450381, 3550286]",3550234,"[3550256, 3550249, 3550242]"
7,3550314,3546835,"[7993093, 3550790, 13058240, 13058240]",3550293,"[3550320, 3550334, 3550327, 13077603]"
8,3550400,3546835,"[3550402, 13058240, 13058240, 10640710, 10467389]",3550399,"[3550406, 3550420, 3550413, 15784779, 62102344]"
9,3550440,3546835,"[6450381, 13058240, 14086309]",3550439,"[3550446, 3550453, 3550460]"
10,3550547,3546835,"[5357465, 16433395, 6463937, 11015075, 13058240, 13430858, 6463937, 16433395, 20696257]",3550546,"[3550567, 3550581, 3550560, 3550574, 15785244, 13430861, 13430855, 3550553, 15785245]"
11,4725685,10053304,"[10649843, 13252368, 13058240]",4725692,"[4725682, 13252371, 13077703]"
12,4991319,12944478,"[14047130, 10649843, 16828187, 13058240]",4991325,"[4991332, 4991318, 19717065, 13872558]"
13,5048551,12705637,"[15653788, 13058240]",5048550,"[16060460, 16060463]"
14,5273167,1970501,"[6467481, 5596495, 13058240, 12809152]",5273173,"[5273144, 5596499, 18928581, 5273205]"
15,5326080,20627000,"[5358138, 14086309, 4936459, 4326468, 13058240]",5326086,"[5326077, 5326093, 14201406, 4725355, 13059069]"
16,5382592,15715980,"[4524871, 13058240]",5382598,"[5298159, 5382605]"
17,5382634,16562946,"[4524871, 5382643, 5382650, 16605715, 16605720, 16605726, 16605731, 16605736, 16605741, 16605747, 13058240, 16605753, 4524871]",5382640,"[5382630, 5382647, 5382654, 18922310, 18922313, 18922315, 18922319, 18922320, 18922328, 18922329, 18919595, 18922341, 5382625]"
18,5384237,18338577,"[4524871, 5384246, 5384254, 13058240]",5384243,"[5384236, 5384250, 5384258, 18106383]"
19,6487079,5690362,"[6487083, 13058240, 5394839, 14047130, 12705637]",6486986,"[6487087, 6487120, 6487094, 6487113, 6487103]"
20,6487191,5690362,"[14085813, 6487193, 6487215, 6487236, 13058240, 16604417, 12705637, 7855607]",6486968,"[6911231, 6487197, 6487219, 6487240, 6487204, 6487212, 6487226, 6487247]"
21,6487625,5690362,"[6909157, 6487627, 6487634, 6487641, 15872060, 13058240]",6487610,"[6909161, 6487631, 6487638, 6487645, 6487653, 18920494]"
22,6487701,5690362,"[6487731, 6487740, 6487747, 6487764, 16136867, 16604512, 13058240, 7855607]",6487687,"[6487735, 6487744, 6487752, 6487768, 6487759, 18920486, 18920481, 6909087]"
23,6498103,5309932,"[11958584, 13058240, 4791651, 20267628, 15571023, 13881810, 5236962, 14088149]",6498095,"[6498137, 6498481, 6498144, 6498123, 6498474, 6498130, 6498151, 6498116]"
24,6500804,5309932,"[20267628, 13058240, 14087339, 15571023, 10089193]",6498237,"[6500930, 6500814, 6500821, 15784340, 6500828]"
25,6500849,5309932,"[15571023, 5236962, 12042430, 12042430, 8688631, 5236962, 5236962, 18425292, 13058240]",6500837,"[15784339, 21716539, 6500874, 6500855, 6500862, 6500881, 6500888, 6500895, 6500902]"
26,6508867,4929679,"[14086309, 6508869, 6467481, 13058240, 14086309, 14199031, 7993093]",6508845,"[6508880, 6508873, 6508894, 6508887, 24049880, 24049881, 10019343]"
27,6515748,5273235,"[6515750, 6515757, 6515764, 6515771, 6515778, 6515785, 13881374, 13058240, 4541202]",6515747,"[6515754, 6515761, 6515768, 6515775, 6515782, 6515789, 19601279, 13873278, 13289078]"
28,6531408,4478328,"[14199031, 14086309, 13058240]",6531405,"[6531414, 6531421, 13059033]"
29,6539190,4728865,"[6539216, 13058240, 10649843, 14085813, 14088149, 19225756, 8026224]",6539106,"[6539220, 6539205, 18930540, 18933879, 18430457, 24137834, 19760757]"
30,6549311,6578062,"[6549331, 6549339, 6549348, 10089193, 16608537, 16608543, 16608548, 13058240, 13058240]",6549320,"[6549335, 6549343, 6549354, 6549293, 18927275, 18927276, 18927280, 18927265, 18927288]"
31,6809336,6809338,"[4274364, 6809354, 13058240, 13881810]",6809342,"[6809335, 6809358, 6809372, 6809349]"
32,6901929,18338577,"[10140573, 6901945, 6901952, 6901959, 13058240, 4791651]",6901935,"[6901928, 6901949, 6901956, 6901963, 18932875, 23525728]"
33,6903247,4728865,"[6903249, 6903264, 10649843, 13058240]",6903245,"[6903253, 6903268, 3951484, 13872602]"
34,6903376,4728865,"[14086309, 14088149, 6903406, 6903413, 13058240, 8026224, 10649843, 14206438, 4727546, 14088451, 14047554]",6903375,"[6903382, 6903396, 6903410, 6903417, 6903424, 6903431, 18655839, 14206639, 20909760, 17912255, 23946098]"
35,6903452,4728865,"[14047554, 8026224, 10649843, 7782409, 13058240, 14238008]",6903448,"[6903460, 6903476, 10579210, 14097838, 6903467, 10579236]"
36,6909450,5690362,"[6909452, 6909459, 13058240, 11833433]",5691795,"[6909456, 6909463, 18874092, 18874098]"
37,6909467,3546835,"[6909469, 6909469, 5690362, 13058240]",3550637,"[6909473, 6909480, 5691681, 18920982]"
38,7132247,4778439,"[7132249, 4780138, 4070949, 4042315, 13058240, 7132284]",7132212,"[7132253, 7132260, 7132267, 7132274, 7132281, 7132288]"
39,7132319,4778439,"[7132321, 16433395, 13058240, 13058240]",7132317,"[7132325, 3550374, 7132333, 13077614]"
40,7132339,4778439,"[13058240, 8237648]",7132337,"[7132352, 7132345]"
41,7788076,11015075,"[7788078, 7788092, 7788099, 7788106, 12039793, 4981055, 13058240]",7788075,"[7788082, 7788096, 7788103, 7788110, 7788089, 13419883, 18932685]"
42,7995496,4523143,"[2798040, 13058240, 20694925, 20694930, 20694937]",7995502,"[7995495, 7995509, 62101516, 62101517, 62101518]"
43,8029266,4729046,"[8029269, 8029277, 8029285, 10649843, 13058240, 16613021, 16613026, 14085813, 14242929]",6546604,"[8029273, 8029281, 8029289, 8029306, 8029298, 18932713, 18932714, 18933476, 8029342]"
44,8165064,8165066,"[8165073, 13058240, 13058240, 10090269, 4791651]",8165070,"[8165077, 8165090, 8165084, 8165063, 18061655]"
45,8166101,4840830,"[8166110, 8166119, 13058240, 6578062]",4841218,"[8166114, 8166123, 8166107, 12613214]"
46,8166613,4840830,"[8166615, 8166623, 8166630, 8166637, 13058240]",4841150,"[8166619, 8166627, 8166634, 8166641, 8166648]"
47,8366350,15693936,"[8366366, 8366373, 8366393, 8366399, 8366441, 8366454, 14088149, 14047130, 13058240, 14087339, 14047554, 8026224, 12070159, 6463937, 10649843, 14242929, 8026224, 13058240, 19139253, 12704772]",8366356,"[8366370, 8366377, 8366397, 8366403, 8366445, 8366458, 8366384, 8366424, 8366430, 8366417, 8366410, 8366363, 8366452, 8366390, 8366437, 8366349, 19760916, 18932635, 19970470, 62194008]"
