skeleton_id," ""neuron_name""",,,,,
7758560," ""SNs",A1L Sensory,"7758560""",,,
7763691," ""SNs",A1L Sensory,"7763691""",,,
7764785," ""SNs",A1L Sensory,"7764785""",,,
7772437," ""SNs",A1L Sensory,"7772437""",,,
7773423," ""SNs",A1L Sensory,"7773423""",,,
7773520," ""SNs",A1L Sensory,"7773520""",,,
7783303," ""SNs",A1L Sensory,"7783303""",,,
7783764," ""SNs",A1L Sensory,"7783764""",,,
7790597," ""SNs",A1L Sensory,"7790597""",,,
7792781," ""SNs",A1L Sensory,"7792781""",,,
7796832," ""SNs",A1L Sensory,"7796832""",,,
7801255," ""SNs",A1L Sensory,"7801255""",,,
7827470,"""A03y2",A1L,NB7-1,Ventral,"7827470""",
7855488,"""A02j",A1R,NB2-1,Dorsal,"7855488""",
7855607,"""A14a2",A1L,NB4-1,Dorsal,"7855607""",
7876385,"""A08e1",A1L,NB3-3,Ventral,"7876385""",
7880001,"""A08s",A1R,NB3-3,Ventral,"7880001""",
7924478,"""A01b2",A1L,NB1-2,Dorsal,"7924478""",
7992966,"""A02e",A1L,NB2-1,Dorsal,"7992966""",
8026224," ""MNs",T3L Motor Neurons,MNs,"8026224""",,
8031834," ""SNs",A1L Sensory,"8031834""",,,
8039617,"""A08e3",A1R,NB3-3,Ventral,"8039617""",
8047353," ""SNs",A1L Sensory,"8047353""",,,
8057753,"""A08j2",A1L,NB3-3,Ventral,"8057753""",
8059283,"""A08c",A1L,NB3-3,Ventral,"8059283""",
8095561,"""A12p",A1R,NB5-2,Ventral,"8095561""",
8196192,"""A12p",A1L,NB5-2,Ventral,"8196192""",
8198913,"""A08j1",A1R,NB3-3,Ventral,"8198913""",
8198957,"""A08e1",A1R,NB3-3,Ventral,"8198957""",
8234099,"""A08e2",A1R,NB3-3,Ventral,"8234099""",
8235049,"""A06b2",A1L,NB5-2,Dorsal,"8235049""",
8257672,"""A08j3",A1R,NB3-3,Ventral,"8257672""",
8263821,"""A03x3",A1R,NB7-1,Dorsal,"8263821""",
8371225,"""A02k",A1R,NB2-1,Ventral,"8371225""",
8419064," ""SNs",A1L Sensory,"8419064""",,,
8421329,"""A08e3",A1L,NB3-3,Ventral,"8421329""",
8688631,"""A03a4",A1L,NB7-1,Dorsal,"8688631""",
8840084,"""A01d4",A1L,NB1-2,Dorsal,"8840084""",
9544992,"""A01d3",A1L,NB1-2,Dorsal,"9544992""",
9545310,"""A03x2",A1R,NB7-1,Dorsal,"9545310""",
9771412," ""SNs",A1R Sensory,"9771412""",,,
10013402," ""MNs",T3R Motor Neurons,MNs,"10013402""",,
10017073,"""A27i",A1R,NB4-1,Ventral,"10017073""",
10053734," ""SNs",A1R Sensory,"10053734""",,,
10054666,"""A19i",A1L,NB7-4,Ventral,"10054666""",
10089252,"""A03x4",A1L,NB7-1,Dorsal,"10089252""",
10104463," ""SNs",A1R Sensory,"10104463""",,,
10110270," ""SNs",A1L Sensory,"10110270""",,,
10110672," ""SNs",A1R Sensory,"10110672""",,,
10273060,"""A03d",A1L,NB7-1,Ventral,"10273060""",
10273502," ""SNs",A1R Sensory,"10273502""",,,
10290529," ""SNs",A1L Sensory,"10290529""",,,
10299625,"""A14a1",A1L,NB4-1,Dorsal,"10299625""",
10312570,"""A01d1",A1R,NB1-2,Dorsal,"10312570""",
10380647,"""A01j",A1L,NB1-2,Dorsal,"10380647""",
10474936,"""A06e",A1L,NB5-2,Dorsal,"10474936""",
10492185," ""SNs",A1L Sensory,"10492185""",,,
10498094,"""A03x5",A1R,NB7-1,Dorsal,"10498094""",
10515199,"""A03x1",A1R,NB7-1,Dorsal,"10515199""",
10515937," ""SNs",A1R Sensory,"10515937""",,,
10649843," ""MNs",T3L Motor Neurons,MNs,"10649843""",,
10678017," ""MNs",T3L Motor Neurons,MNs,"10678017""",,
10804041,"""A19b2",A1L,NB7-4,Ventral,"10804041""",
10858401,"""A06a",A1L,NB5-2,Dorsal,"10858401""",
10868477," ""SNs",A1R Sensory,"10868477""",,,
10929797,"""A08j1",A1L,NB3-3,Ventral,"10929797""",
10929871,"""A08c2",A1R,NB3-3,Ventral,"10929871""",
10949030,"""A08j2",A1R,NB3-3,Ventral,"10949030""",
11057449,"""A06i",A1R,NB5-2,Ventral,"11057449""",
11060026,"""A01a2",A1R,NB1-2,Dorsal,"11060026""",
11064947,"""A01h2",A1R,NB4-1,Ventral,"11064947""",
11106522,"""A01d1",A1L,NB1-2,Dorsal,"11106522""",
11455472,"""A08j3",A1L,NB3-3,Ventral,"11455472""",
11466247,"""A12g",A1L,NB5-2,Ventral,"11466247""",
11874130," ""SNs",A1L Sensory,"11874130""",,,
11928389,"""A12c3",A1L,NB5-2,Ventral,"11928389""",
11958584,"""A06e",A1R,NB5-2,Dorsal,"11958584""",
11982072,"""A03d",A1R,NB7-1,Ventral,"11982072""",
11988252,"""A02c",A1R,NB2-1,Ventral,"11988252""",
12014775,"""A03x5",A1L,NB7-1,Dorsal,"12014775""",
12036009,"""A06f",A1R,NB5-2,Dorsal,"12036009""",
12039793,"""A06g2",A1L,NB5-2,Dorsal,"12039793""",
12040460,"""A06g",A1L,NB5-2,Dorsal,"12040460""",
12042425,"""A06b",A1L,NB5-2,Dorsal,"12042425""",
12140587," ""SNs",A1R Sensory,"12140587""",,,
12140925,"""A01a",A1L,NB1-2,Dorsal,"12140925""",
12244514,"""A19b1",A1R,NB7-4,Ventral,"12244514""",
12469990," ""SNs",A1L Sensory,"12469990""",,,
12529994," ""SNs",A1R Sensory,"12529994""",,,
12787696,"""A01b2",A1R,NB1-2,Dorsal,"12787696""",
12809923,"""A08e2",A1L,NB3-3,Ventral,"12809923""",
12809976,"""A06c",A1L,NB5-2,Dorsal,"12809976""",
12820085,"""A14b",A1L,NB4-1,Dorsal,"12820085""",
12820178,"""A02h",A1L,NB2-1,Dorsal,"12820178""",
12820277,"""A14a3",A1L,NB4-1,Dorsal,"12820277""",
12834795,"""A14b",A1R,NB4-1,Dorsal,"12834795""",
12953345,"""A02f",A1R,NB2-1,Dorsal,"12953345""",
12960079," ""SNs",A1L Sensory,"12960079""",,,
12960217," ""SNs",A1L Sensory,"12960217""",,,
12990250,"""A12g",A1R,NB5-2,Ventral,"12990250""",
13004884,"""A02a",A1L,NB2-1,Ventral,"13004884""",
13049937," ""SNs",A1R Sensory,"13049937""",,,
13057994," ""MNs",T3R Motor Neurons,MNs,"13057994""",,
13058240," ""MNs",T3L Motor Neurons,MNs,"13058240""",,
13122290,"""A01j",A1R,NB1-2,Dorsal,"13122290""",
13124815," ""SNs",A1R Sensory,"13124815""",,,
13671419," ""SNs",A1L Sensory,"13671419""",,,
13774384,"""A12c6",A1R,NB5-2,Ventral,"13774384""",
13775274,"""A12c3",A1R,NB5-2,Ventral,"13775274""",
13775497,"""A06k",A1R,NB5-2,Ventral,"13775497""",
14044614," ""MNs",T3L Motor Neurons,MNs,"14044614""",,
14045016," ""MNs",T3L Motor Neurons,MNs,"14045016""",,
14045489," ""MNs",T3R Motor Neurons,MNs,"14045489""",,
14045854," ""MNs",T3R Motor Neurons,MNs,"14045854""",,
14046279,"""A02d",A1L,NB2-1,Ventral,"14046279""",
14046294,"""A02d",A1R,NB2-1,Ventral,"14046294""",
14046720," ""MNs",T3R Motor Neurons,MNs,"14046720""",,
14047130," ""MNs",T3L Motor Neurons,MNs,"14047130""",,
14047554," ""MNs",T3R Motor Neurons,MNs,"14047554""",,
14047760," ""MNs",T3R Motor Neurons,MNs,"14047760""",,
14047945," ""MNs",T3R Motor Neurons,MNs,"14047945""",,
14048287," ""MNs",T3R Motor Neurons,MNs,"14048287""",,
14048538," ""MNs",T3R Motor Neurons,MNs,"14048538""",,
14048876," ""MNs",T3R Motor Neurons,MNs,"14048876""",,
14085813," ""MNs",T3L Motor Neurons,MNs,"14085813""",,
14086309," ""MNs",T3L Motor Neurons,MNs,"14086309""",,
14087107," ""MNs",T3R Motor Neurons,MNs,"14087107""",,
14087339," ""MNs",T3L Motor Neurons,MNs,"14087339""",,
14088149," ""MNs",T3L Motor Neurons,MNs,"14088149""",,
14088451," ""MNs",T3L Motor Neurons,MNs,"14088451""",,
14194234," ""MNs",T3L Motor Neurons,MNs,"14194234""",,
14194703," ""MNs",T3R Motor Neurons,MNs,"14194703""",,
14199031," ""MNs",T3L Motor Neurons,MNs,"14199031""",,
14199565," ""MNs",T3R Motor Neurons,MNs,"14199565""",,
14203725," ""MNs",T3L Motor Neurons,MNs,"14203725""",,
14206438," ""MNs",T3R Motor Neurons,MNs,"14206438""",,
14493979," ""SNs",A1R Sensory,"14493979""",,,
14522404,"""A12c6",A1L,NB5-2,Ventral,"14522404""",
14639795," ""SNs",A1R Sensory,"14639795""",,,
14642308," ""SNs",A1L Sensory,"14642308""",,,
14642324," ""SNs",A1L Sensory,"14642324""",,,
14829351,"""A14a2",A1R,NB4-1,Dorsal,"14829351""",
14858626,"""A02e",A1R,NB2-1,Dorsal,"14858626""",
14866379,"""A02h",A1R,NB2-1,Dorsal,"14866379""",
14866842,"""A02g",A1L,NB2-1,Dorsal,"14866842""",
14913093,"""A08c",A1R,NB3-3,Ventral,"14913093""",
