,connector_id,presynaptic_to,postsynaptic_to,presynaptic_to_node,postsynaptic_to_node
0,485492,471720,"[485494, 4933586, 3180525]",485468,"[485498, 485516, 485508]"
1,1055774,1016662,"[1055786, 3180525, 7299204, 17693220]",1055762,"[1055790, 1055798, 4840574, 1055816]"
2,1181037,6276557,"[1181049, 1113488, 471755, 10929797, 3180525, 20301623]",1181032,"[1181053, 1181021, 1181043, 1181061, 4626803, 1181073]"
3,1525891,3282869,"[1042538, 4060628, 3180525, 3863488, 1690576, 4555763, 4968312, 6439425, 5108525]",1525888,"[1525882, 1525897, 1525938, 1525930, 1525914, 3074415, 6124398, 1525906, 1525922]"
4,1554595,1555284,"[1042538, 4060628, 3180525, 5268581, 3863488, 5108525, 7026549, 5268581, 5343578]",1554592,"[1554558, 1554618, 4233077, 4233100, 1554602, 4699453, 1554610, 3577342, 4719868]"
5,1554674,3282869,"[4022794, 1042538, 4826452, 1690576, 3180525]",1554671,"[1554680, 1554649, 1554697, 1554705, 1554689]"
6,1554716,1555284,"[1042538, 3278999, 4826452, 3180525, 1690576, 19027624]",1554713,"[1554649, 1554740, 1554722, 1554689, 1554731, 4796955]"
7,1706104,12244514,"[1706106, 1706113, 3180525, 3863488, 3091943, 7683401, 19027624, 20825755]",4233227,"[1706110, 1706117, 1706127, 4300507, 6400507, 16684160, 5726960, 62248178]"
8,1706175,12244514,"[3180525, 4049878, 3546334, 6323596, 7724392, 7724392, 3180525, 3091943]",6323584,"[1706181, 1706195, 4604275, 6323600, 6323607, 1706202, 1706188, 6323593]"
9,1706216,12244514,"[1706226, 1706235, 3180525, 3091943, 4049878]",6323530,"[1706230, 1706239, 1706174, 6400414, 6493218]"
10,1706324,7628068,"[3074106, 3180525, 3180525, 7683401, 4321712]",7718452,"[1706337, 1706321, 10750058, 16684038, 1706344]"
11,1706379,6439661,"[1706395, 1706409, 5997121, 3180525, 4833168, 5132886, 5174229, 10247731]",6745177,"[1706399, 1706413, 1706406, 1706378, 4836445, 5174217, 5174233, 1706385]"
12,2183963,18474053,"[2183974, 2183992, 2183999, 2184013, 4144088, 5128837, 3180525]",2183962,"[2183978, 2183996, 2184003, 2184017, 2183989, 2183971, 2184010]"
13,2715494,2695223,"[7683669, 3180525]",2715329,"[2715513, 2715505]"
14,2739736,2637812,"[14085813, 3180525, 16827590]",2739193,"[2739750, 4487286, 2739757]"
15,2747571,3180525,"[2747582, 4155977, 4535767, 12953345]",2747594,"[2747586, 2747577, 12700172, 2746746]"
16,2754029,19010160,"[3180525, 4060628, 3546334, 2637812, 2754038, 2754136, 2754146, 3180525, 3180525, 5464719, 5464719, 4871599, 4060628]",2754035,"[2754056, 2754070, 2754077, 2754027, 2754042, 2754140, 2754150, 2754119, 2754098, 2754049, 2754085, 2754063, 7075897]"
